customer_id,tenure_months,subscription_tier,age_group,region,login_frequency,session_duration,feature_usage_count,days_since_last_login,support_tickets,payment_failures,discount_usage,referrals_made,churned
CUST_000049,9,Standard,36-45,East,6.5,13.9,5,0.1,1.0,0,0,1,0
CUST_000050,2,Premium,56+,West,18.0,39.7,15,2.3,1.0,0,0,1,0
CUST_000051,41,Standard,18-25,South,2.5,14.2,5,32.9,4.0,0,0,0,1
CUST_000052,17,Basic,46-55,West,6.3,11.7,6,0.8,2.0,0,0,0,0
CUST_000053,33,Premium,36-45,East,14.5,81.6,8,4.3,2.0,2,0,0,0
CUST_000054,27,Basic,26-35,West,3.9,7.0,4,1.0,4.0,2,1,2,1
CUST_000055,10,Standard,46-55,North,1.6,10.0,5,2.7,1.0,2,1,0,1
CUST_000056,30,Basic,56+,East,2.2,7.1,3,5.2,10.0,2,0,0,1
CUST_000057,1,Basic,26-35,West,3.1,21.3,6,0.7,0.0,0,0,1,0
CUST_000058,2,Standard,18-25,North,13.6,32.8,4,1.3,0.0,1,0,1,0
CUST_000059,1,Standard,56+,East,2.2,19.1,5,13.1,1.0,2,1,2,1
CUST_000060,4,Basic,36-45,West,12.1,14.4,13,0.2,1.0,1,0,3,0
CUST_000061,5,Basic,26-35,East,9.1,22.7,12,6.5,1.0,0,1,0,0
CUST_000062,3,Basic,36-45,North,8.0,54.5,11,1.0,0.0,0,0,0,0
CUST_000063,21,Standard,46-55,East,2.6,30.9,10,0.3,1.0,0,0,1,0
CUST_000064,5,Basic,46-55,North,9.0,78.2,5,2.0,0.0,0,1,0,0
CUST_000065,3,Basic,56+,West,11.2,51.2,7,1.0,2.0,0,0,0,0
CUST_000066,9,Standard,26-35,North,13.7,44.6,7,10.3,1.0,0,0,1,0
CUST_000067,1,Standard,26-35,North,3.1,26.3,8,0.9,2.0,0,0,0,0
CUST_000068,19,Standard,36-45,South,6.7,27.2,7,6.1,3.0,0,1,1,0
CUST_000069,1,Standard,26-35,East,16.2,55.5,9,10.6,1.0,1,0,2,0
CUST_000070,52,Premium,36-45,West,22.5,33.5,15,1.4,1.0,0,0,2,0
CUST_000071,17,Premium,26-35,North,11.4,37.7,11,1.4,,1,0,1,0
CUST_000072,2,Standard,26-35,North,1.3,14.8,2,12.9,1.0,2,0,0,1
CUST_000073,1,Standard,36-45,South,14.2,27.2,8,1.9,1.0,0,0,0,0
CUST_000074,20,Basic,36-45,West,8.1,8.0,9,3.7,2.0,0,1,1,0
CUST_000075,14,Premium,46-55,South,2.8,17.4,4,3.7,3.0,2,0,0,1
CUST_000076,15,Basic,36-45,South,6.9,64.8,9,1.5,1.0,1,1,0,0
CUST_000077,17,Basic,26-35,East,1.3,4.0,2,15.9,3.0,2,0,0,1
CUST_000078,1,Basic,26-35,South,14.1,22.9,5,1.7,1.0,0,1,2,0
CUST_000079,5,Basic,46-55,South,1.5,35.9,8,2.5,2.0,0,0,1,0
CUST_000080,1,Premium,26-35,South,,37.9,12,4.3,2.0,1,0,0,0
CUST_000081,23,Standard,36-45,West,9.9,2.5,4,3.4,1.0,0,0,0,0
CUST_000082,11,Standard,36-45,West,1.3,14.7,3,19.7,4.0,0,0,2,1
CUST_000083,4,Standard,26-35,West,3.2,8.6,5,8.1,0.0,2,0,0,1
CUST_000084,1,Basic,46-55,South,5.9,17.0,12,4.3,2.0,0,0,2,0
CUST_000085,4,Basic,18-25,East,2.0,16.6,2,3.0,1.0,2,0,2,1
CUST_000086,4,Standard,36-45,North,9.2,42.4,6,1.6,2.0,1,0,0,0
CUST_000087,15,Standard,26-35,East,21.9,21.4,15,0.3,5.0,0,0,1,0
CUST_000088,12,Basic,18-25,East,2.1,12.4,0,7.9,3.0,0,0,0,1
CUST_000089,26,Standard,36-45,West,8.6,39.0,7,0.1,1.0,1,1,0,0
CUST_000090,7,Basic,36-45,North,8.2,38.5,10,0.5,3.0,1,0,0,0
CUST_000091,1,Basic,46-55,West,9.2,11.9,7,4.9,4.0,0,0,0,0
CUST_000092,14,Basic,46-55,East,0.6,101.8,2,0.6,0.0,0,0,0,0
CUST_000093,17,Basic,46-55,South,17.8,111.7,7,0.7,0.0,1,1,0,0
CUST_000094,9,Standard,26-35,East,30.0,43.8,8,5.7,1.0,0,0,0,0
CUST_000095,17,Standard,36-45,West,8.1,30.0,7,1.5,0.0,1,0,1,0
CUST_000096,8,Basic,36-45,West,13.4,15.4,9,1.8,,0,0,0,0
CUST_000097,8,Standard,26-35,East,10.9,30.4,6,2.3,3.0,0,0,1,0
CUST_000098,6,Standard,36-45,North,1.5,12.7,2,1.5,3.0,2,1,1,1
CUST_000099,1,Basic,56+,West,3.8,23.9,1,8.6,3.0,2,0,1,1
CUST_000100,1,Basic,26-35,East,4.5,44.3,4,3.5,3.0,0,0,0,0
CUST_000101,1,Premium,56+,South,10.5,29.3,2,4.1,2.0,0,1,0,0
CUST_000102,12,Standard,18-25,North,8.4,41.3,10,1.0,0.0,0,0,0,0
CUST_000103,4,Premium,26-35,North,13.3,8.5,11,0.6,0.0,0,0,2,0
CUST_000104,8,Basic,26-35,North,2.1,23.9,4,13.1,1.0,4,0,0,1
CUST_000105,28,Standard,36-45,West,8.9,42.8,10,1.3,2.0,1,0,1,0
CUST_000106,3,Basic,18-25,North,3.6,22.3,4,0.5,1.0,4,0,0,1
CUST_000107,6,Basic,46-55,North,16.9,76.6,7,2.2,1.0,1,0,0,0
CUST_000108,16,Standard,46-55,South,13.0,18.6,5,5.5,0.0,0,0,1,0
CUST_000109,3,Basic,36-45,South,14.8,24.5,12,1.0,1.0,0,1,0,0
CUST_000110,1,Basic,36-45,North,15.6,14.2,5,0.2,0.0,1,1,0,0
CUST_000111,4,Basic,56+,North,3.6,8.7,16,6.7,1.0,0,0,1,0
CUST_000112,2,Basic,46-55,North,12.6,15.2,6,1.1,1.0,1,0,0,0
CUST_000113,31,Standard,36-45,East,3.4,16.1,10,2.9,2.0,0,1,1,0
CUST_000114,19,Basic,46-55,North,20.1,25.2,8,0.6,1.0,0,0,0,0
CUST_000115,12,Basic,36-45,East,12.4,32.3,13,2.5,1.0,1,0,0,0
CUST_000116,24,Basic,36-45,North,3.2,6.4,14,1.8,1.0,0,1,0,0
CUST_000117,19,Basic,26-35,North,9.1,58.4,8,10.9,0.0,0,1,1,0
CUST_000118,2,Standard,36-45,South,4.0,24.8,3,0.6,3.0,0,1,0,0
CUST_000119,26,Basic,18-25,North,5.5,12.2,8,3.0,0.0,0,0,1,0
CUST_000120,9,Standard,26-35,North,10.2,36.1,9,5.2,1.0,1,0,0,0
CUST_000121,19,Basic,36-45,South,5.0,44.0,12,0.4,2.0,0,0,1,0
CUST_000122,27,Basic,56+,South,6.6,24.9,6,2.7,0.0,0,0,0,0
CUST_000123,4,Premium,56+,East,23.7,10.4,4,3.5,2.0,1,0,0,0
CUST_000124,1,Standard,36-45,North,7.0,9.5,6,5.0,0.0,0,1,3,0
CUST_000125,3,Basic,36-45,West,3.6,67.2,5,2.1,1.0,0,0,0,0
CUST_000126,6,Standard,26-35,West,1.3,20.6,4,1.8,2.0,0,0,0,0
CUST_000127,20,Basic,36-45,West,13.1,51.2,5,3.6,2.0,1,0,1,0
CUST_000128,23,Standard,18-25,South,12.9,24.8,9,7.1,2.0,0,0,1,0
CUST_000129,1,Standard,26-35,West,9.1,3.0,3,1.5,2.0,0,0,2,0
CUST_000130,8,Standard,36-45,North,30.0,39.4,11,1.7,2.0,0,1,0,0
CUST_000131,6,Premium,26-35,North,9.5,63.5,11,1.1,2.0,0,0,2,0
CUST_000132,3,Basic,18-25,North,17.0,45.0,8,3.1,2.0,0,1,0,0
CUST_000133,1,Standard,46-55,West,4.6,30.4,7,0.3,1.0,0,0,0,0
CUST_000134,4,Basic,26-35,South,13.6,27.8,10,1.1,1.0,0,0,1,0
CUST_000135,34,Basic,18-25,West,3.1,57.2,5,1.0,1.0,0,0,0,0
CUST_000136,4,Basic,18-25,South,13.4,33.4,10,2.5,2.0,0,0,3,0
CUST_000137,8,Basic,26-35,West,3.3,21.5,3,5.0,1.0,4,0,2,1
CUST_000138,14,Standard,26-35,West,11.5,21.4,5,1.6,3.0,0,1,0,0
CUST_000139,5,Standard,46-55,West,9.4,9.8,3,2.6,2.0,0,0,0,0
CUST_000140,42,Standard,26-35,South,12.8,12.4,9,0.5,0.0,0,0,0,0
CUST_000141,39,Basic,46-55,West,0.6,21.0,5,1.0,1.0,2,0,0,1
CUST_000142,3,Basic,26-35,West,7.2,38.0,9,2.5,0.0,0,1,1,0
CUST_000143,8,Premium,36-45,South,24.5,90.9,12,3.6,1.0,1,0,0,0
CUST_000144,4,Basic,36-45,South,17.9,20.1,8,2.7,2.0,1,1,0,0
CUST_000145,4,Standard,36-45,East,11.1,50.7,10,0.9,0.0,1,1,0,0
CUST_000146,1,Standard,36-45,South,16.8,12.0,11,0.3,2.0,0,1,0,0
CUST_000147,11,Standard,56+,West,6.9,26.5,6,7.8,0.0,0,0,0,0
CUST_000148,8,Standard,26-35,North,2.4,12.6,5,3.5,3.0,2,1,2,1
CUST_000149,1,Premium,36-45,East,12.9,44.0,12,0.3,1.0,0,0,1,0
CUST_000150,3,Basic,46-55,North,9.5,8.5,8,4.0,1.0,0,1,0,0
CUST_000151,28,Premium,18-25,South,16.0,26.5,4,0.1,1.0,0,0,1,0
CUST_000152,3,Basic,18-25,South,4.0,13.8,5,7.6,0.0,4,1,1,1
CUST_000153,1,Basic,26-35,West,8.2,22.1,9,0.3,3.0,1,1,0,0
CUST_000154,8,Basic,36-45,North,13.9,26.6,7,3.7,1.0,0,0,0,0
CUST_000155,50,Standard,26-35,West,2.0,53.0,4,13.8,3.0,2,0,0,1
CUST_000156,3,Basic,26-35,West,9.4,5.8,9,2.4,3.0,0,0,0,0
CUST_000157,13,Basic,36-45,South,11.2,50.5,6,0.1,1.0,1,0,0,0
CUST_000158,17,Basic,36-45,North,5.0,13.6,4,1.6,3.0,0,1,0,0
CUST_000159,3,Premium,26-35,North,9.7,49.2,4,0.5,4.0,0,0,1,0
CUST_000160,15,Standard,26-35,South,22.4,4.2,10,1.5,2.0,1,0,1,0
CUST_000161,5,Standard,36-45,North,9.1,18.3,11,1.9,3.0,0,0,1,0
CUST_000162,12,Standard,56+,East,30.0,36.1,6,0.3,0.0,1,1,1,0
CUST_000163,12,Basic,36-45,West,,20.6,4,5.4,1.0,4,1,0,1
CUST_000164,9,Basic,46-55,North,14.5,22.6,7,0.2,2.0,0,0,1,0
CUST_000165,1,Premium,26-35,East,3.1,39.6,7,4.1,0.0,0,0,1,0
CUST_000166,21,Basic,26-35,West,0.6,17.1,2,6.7,3.0,2,0,0,1
CUST_000167,4,Basic,36-45,West,3.5,60.1,6,1.2,1.0,0,0,0,0
CUST_000168,2,Basic,46-55,West,15.7,22.0,4,0.2,1.0,0,0,1,0
CUST_000169,1,Basic,36-45,West,6.6,12.3,6,5.0,1.0,0,1,0,0
CUST_000170,10,Basic,46-55,South,2.0,40.7,6,3.7,0.0,0,0,1,0
CUST_000171,13,Standard,56+,West,4.2,27.8,4,2.6,0.0,5,1,1,1
CUST_000172,1,Basic,18-25,West,14.7,13.4,12,1.1,0.0,1,1,0,0
CUST_000173,8,Standard,18-25,South,1.9,29.9,3,3.2,4.0,4,0,0,1
CUST_000174,3,Basic,18-25,South,15.3,34.5,9,10.2,0.0,1,0,0,0
CUST_000175,12,Basic,26-35,South,2.6,34.0,11,1.4,1.0,0,1,1,0
CUST_000176,2,Basic,18-25,South,14.4,43.6,8,0.7,0.0,0,0,0,0
CUST_000177,14,Standard,46-55,North,2.4,12.7,3,8.7,3.0,2,0,0,1
CUST_000178,5,Basic,18-25,East,18.9,16.3,8,3.7,0.0,1,1,0,0
CUST_000179,33,Standard,26-35,East,21.5,15.3,8,0.5,3.0,0,1,1,0
CUST_000180,1,Standard,26-35,South,10.8,33.5,8,5.1,2.0,0,0,0,0
CUST_000181,5,Standard,56+,North,,58.2,8,2.7,1.0,0,0,1,0
CUST_000182,1,Basic,36-45,West,30.0,35.1,11,1.1,3.0,1,0,0,0
CUST_000183,31,Basic,56+,North,4.4,33.2,10,1.3,1.0,0,0,0,0
CUST_000184,25,Basic,56+,North,23.5,18.4,8,4.9,3.0,0,1,3,0
CUST_000185,3,Standard,36-45,East,29.2,29.4,6,1.2,4.0,2,0,0,0
CUST_000186,12,Basic,26-35,South,11.1,46.9,9,3.5,1.0,0,1,0,0
CUST_000187,20,Standard,26-35,North,3.1,49.6,8,0.0,3.0,1,0,1,0
CUST_000188,9,Premium,26-35,South,15.6,38.3,8,1.0,0.0,0,1,0,0
CUST_000189,9,Basic,46-55,West,30.0,19.6,11,0.9,1.0,1,0,0,0
CUST_000190,3,Basic,18-25,East,2.5,10.9,3,12.4,4.0,0,1,0,1
CUST_000191,1,Standard,18-25,South,3.8,25.9,3,18.7,0.0,2,0,0,1
CUST_000192,27,Basic,36-45,North,0.4,31.9,3,12.7,1.0,2,1,0,1
CUST_000193,27,Basic,36-45,East,7.7,23.7,7,0.8,1.0,0,0,0,0
CUST_000194,12,Premium,36-45,West,19.7,19.2,9,1.1,,1,0,0,0
CUST_000195,4,Basic,26-35,East,1.8,18.5,5,9.8,0.0,4,0,1,1
CUST_000196,5,Premium,46-55,West,34.3,39.8,18,0.0,0.0,0,0,0,0
CUST_000197,15,Standard,36-45,East,1.1,22.7,2,21.6,3.0,0,0,0,1
CUST_000198,27,Standard,18-25,East,5.1,33.5,8,5.7,1.0,0,1,0,0
CUST_000199,26,Basic,46-55,West,20.1,29.6,7,0.2,1.0,0,0,0,0
CUST_000200,18,Basic,56+,West,,18.5,9,1.5,1.0,0,0,1,0
CUST_000201,12,Standard,18-25,West,26.2,,7,3.4,1.0,0,0,0,0
CUST_000202,1,Basic,26-35,South,0.7,6.3,4,0.5,1.0,2,0,0,1
CUST_000203,2,Basic,36-45,West,3.1,16.0,3,6.8,1.0,2,1,1,1
CUST_000204,27,Basic,18-25,East,10.6,17.2,8,3.4,0.0,1,1,0,0
CUST_000205,11,Basic,46-55,West,30.0,53.1,7,2.4,1.0,1,0,1,0
CUST_000206,1,Basic,26-35,North,,30.3,12,1.5,2.0,1,0,2,0
CUST_000207,1,Standard,46-55,East,12.4,4.1,12,0.4,2.0,0,1,2,0
CUST_000208,13,Basic,36-45,West,8.1,,8,0.6,2.0,0,0,1,0
CUST_000209,1,Basic,36-45,North,7.5,24.8,9,5.1,3.0,0,0,0,0
CUST_000210,2,Standard,26-35,East,2.5,27.3,4,13.6,1.0,2,0,0,1
CUST_000211,9,Premium,26-35,West,17.0,36.9,7,2.8,2.0,0,0,1,0
CUST_000212,14,Basic,18-25,South,3.3,20.6,2,1.7,4.0,2,1,0,1
CUST_000213,12,Basic,26-35,South,13.0,82.4,7,2.3,3.0,0,0,0,0
CUST_000214,3,Standard,26-35,East,9.1,61.0,10,0.7,1.0,1,0,0,0
CUST_000215,14,Premium,46-55,East,9.1,33.9,12,1.3,1.0,0,1,0,0
CUST_000216,3,Standard,26-35,North,23.1,41.1,11,3.0,3.0,0,0,0,0
CUST_000217,4,Standard,46-55,North,2.3,10.3,5,2.6,4.0,2,0,0,1
CUST_000218,16,Basic,26-35,North,2.6,18.4,6,18.9,3.0,2,0,0,1
CUST_000219,12,Standard,46-55,South,0.4,17.2,3,20.3,0.0,0,0,0,1
CUST_000220,22,Basic,56+,North,3.4,7.6,5,1.2,1.0,4,0,1,1
CUST_000221,12,Standard,26-35,East,21.9,25.6,9,1.7,1.0,0,0,2,0
CUST_000222,10,Standard,46-55,East,22.3,25.7,4,3.1,0.0,0,1,0,0
CUST_000223,1,Premium,36-45,West,8.4,34.8,9,4.5,3.0,0,1,0,0
CUST_000224,5,Basic,46-55,North,12.2,22.9,5,2.4,1.0,1,1,0,0
CUST_000225,3,Basic,36-45,South,14.2,21.3,5,0.9,2.0,0,0,0,0
CUST_000226,3,Standard,26-35,South,1.1,32.2,3,20.9,3.0,0,0,0,1
CUST_000227,43,Standard,26-35,West,18.4,36.3,10,3.4,3.0,0,0,0,0
CUST_000228,5,Standard,18-25,East,2.6,29.2,6,0.7,1.0,0,0,3,0
CUST_000229,26,Basic,36-45,West,3.0,9.9,4,7.6,1.0,2,0,1,1
CUST_000230,11,Basic,56+,North,3.2,48.6,9,3.4,3.0,0,1,0,0
CUST_000231,19,Standard,46-55,East,10.6,53.5,8,0.4,3.0,1,0,1,0
CUST_000232,8,Basic,26-35,East,2.1,3.9,4,2.8,1.0,2,0,0,1
CUST_000233,10,Premium,46-55,West,3.8,4.5,7,25.9,0.0,0,1,0,1
CUST_000234,8,Basic,46-55,East,16.0,21.0,7,2.9,0.0,1,1,0,0
CUST_000235,2,Standard,26-35,East,5.5,23.5,6,7.2,0.0,0,0,0,0
CUST_000236,15,Standard,18-25,North,4.1,8.8,6,3.8,4.0,2,0,1,1
CUST_000237,3,Standard,18-25,East,2.5,15.0,8,1.7,1.0,0,0,0,0
CUST_000238,1,Basic,46-55,South,1.8,3.6,5,1.1,,0,1,0,0
CUST_000239,12,Standard,46-55,North,9.5,57.0,14,2.1,3.0,1,0,1,0
CUST_000240,2,Basic,26-35,North,5.3,24.4,6,0.4,2.0,0,0,1,0
CUST_000241,33,Standard,26-35,West,25.7,32.5,9,2.8,1.0,0,1,0,0
CUST_000242,36,Basic,46-55,South,30.0,28.6,12,5.3,2.0,1,0,1,0
CUST_000243,29,Basic,56+,West,2.7,16.4,10,3.7,1.0,0,0,1,0
CUST_000244,5,Basic,46-55,West,0.9,13.8,3,3.0,3.0,2,1,1,1
CUST_000245,1,Basic,36-45,West,26.1,65.9,3,2.3,2.0,0,0,1,0
CUST_000246,31,Premium,26-35,West,17.4,22.3,5,4.3,2.0,1,0,1,0
CUST_000247,6,Basic,36-45,West,4.7,12.2,5,1.2,6.0,2,0,0,1
CUST_000248,40,Standard,26-35,South,2.1,36.4,8,0.8,3.0,0,1,0,0
CUST_000249,39,Premium,46-55,North,45.0,8.1,8,11.6,0.0,0,0,1,0
CUST_000250,23,Basic,26-35,East,4.0,25.1,7,0.1,3.0,0,1,0,0
CUST_000251,4,Standard,46-55,South,14.5,20.0,6,0.1,2.0,0,0,0,0
CUST_000252,5,Basic,26-35,North,7.0,11.7,4,6.8,1.0,4,0,1,1
CUST_000253,22,Basic,46-55,East,1.7,10.3,8,1.8,0.0,0,0,1,0
CUST_000254,4,Basic,26-35,East,4.7,15.2,8,0.6,0.0,0,0,0,0
CUST_000255,2,Premium,26-35,West,3.4,30.7,5,0.0,1.0,0,1,1,0
CUST_000256,9,Basic,36-45,East,0.5,7.8,5,9.9,3.0,0,0,0,1
CUST_000257,33,Standard,18-25,East,3.4,12.8,3,22.4,3.0,0,0,0,1
CUST_000258,14,Standard,56+,South,2.6,22.5,9,3.4,0.0,0,1,1,0
CUST_000259,10,Premium,36-45,South,3.0,9.2,5,10.3,1.0,2,0,2,1
CUST_000260,1,Basic,36-45,West,1.0,16.3,3,1.5,0.0,2,0,1,1
CUST_000261,11,Standard,46-55,North,3.1,16.8,2,18.9,6.0,0,0,1,1
CUST_000262,55,Standard,46-55,South,25.5,20.0,8,2.1,1.0,0,1,1,0
CUST_000263,1,Standard,36-45,East,10.4,29.5,8,0.7,3.0,0,0,0,0
CUST_000264,8,Premium,56+,South,7.8,62.9,14,2.4,0.0,1,1,1,0
CUST_000265,25,Standard,18-25,South,3.9,9.9,4,1.4,3.0,2,1,0,1
CUST_000266,16,Basic,18-25,South,4.9,13.3,3,16.0,3.0,2,0,1,1
CUST_000267,14,Basic,36-45,North,10.0,35.5,11,1.9,2.0,0,1,0,0
CUST_000268,14,Basic,26-35,South,6.4,57.9,8,0.8,1.0,0,0,0,0
CUST_000269,5,Basic,36-45,West,4.4,17.6,11,2.7,2.0,0,0,0,0
CUST_000270,4,Basic,26-35,East,14.5,25.1,11,0.9,0.0,0,0,2,0
CUST_000271,19,Basic,26-35,North,1.5,4.1,2,14.4,1.0,2,1,1,1
CUST_000272,19,Basic,46-55,South,14.6,37.7,8,1.5,1.0,0,0,0,0
CUST_000273,24,Premium,36-45,North,8.5,51.3,8,0.5,3.0,0,0,0,0
CUST_000274,29,Basic,56+,West,9.3,15.4,1,13.1,0.0,4,0,0,1
CUST_000275,8,Premium,46-55,South,5.0,12.6,8,1.3,4.0,0,0,2,0
CUST_000276,8,Basic,26-35,West,3.3,67.1,8,3.1,1.0,0,1,0,0
CUST_000277,19,Standard,26-35,South,8.5,30.8,5,5.8,2.0,0,1,1,0
CUST_000278,12,Standard,26-35,West,4.0,33.1,8,2.1,0.0,1,0,2,0
CUST_000279,14,Basic,46-55,South,26.2,41.3,9,7.9,2.0,1,1,0,0
CUST_000280,19,Basic,18-25,North,2.3,28.9,5,8.4,4.0,2,0,1,1
CUST_000281,26,Basic,26-35,North,1.8,6.9,3,2.8,4.0,2,0,1,1
CUST_000282,4,Basic,56+,East,11.2,35.7,11,0.4,1.0,1,0,0,0
CUST_000283,5,Premium,36-45,South,0.5,8.2,2,11.1,0.0,2,0,0,1
CUST_000284,1,Standard,26-35,South,27.4,35.4,6,3.3,3.0,1,0,1,0
CUST_000285,10,Basic,26-35,West,12.8,34.9,10,3.7,2.0,0,0,0,0
CUST_000286,1,Basic,46-55,North,9.9,28.5,6,0.6,2.0,0,1,0,0
CUST_000287,7,Basic,46-55,South,4.2,25.6,10,0.1,1.0,1,0,2,0
CUST_000288,9,Basic,26-35,West,7.3,10.0,9,0.8,0.0,1,0,2,0
CUST_000289,4,Standard,26-35,South,2.3,33.8,2,24.2,3.0,0,0,1,1
CUST_000290,10,Basic,46-55,West,5.5,98.6,2,1.9,0.0,1,0,1,0
CUST_000291,1,Standard,46-55,South,15.5,82.0,5,3.3,2.0,0,0,0,0
CUST_000292,1,Basic,46-55,South,10.7,42.0,6,0.4,6.0,1,0,1,0
CUST_000293,20,Basic,36-45,North,6.0,26.6,10,3.3,0.0,0,0,0,0
CUST_000294,5,Standard,56+,West,1.5,43.1,6,6.2,1.0,0,1,1,0
CUST_000295,1,Basic,26-35,West,30.0,40.6,11,3.3,4.0,2,0,0,0
CUST_000296,8,Premium,26-35,West,23.5,,9,1.3,3.0,0,0,0,0
CUST_000297,17,Premium,46-55,South,6.8,16.3,5,1.1,2.0,0,0,0,0
CUST_000298,2,Basic,36-45,West,,17.4,6,0.3,4.0,0,1,0,0
CUST_000299,11,Basic,46-55,South,1.8,7.2,4,20.0,1.0,0,0,0,1
CUST_000300,1,Standard,18-25,South,4.4,,10,1.0,1.0,0,1,1,0
CUST_000301,1,Premium,46-55,West,6.2,92.5,8,0.1,,1,0,1,0
CUST_000302,9,Standard,26-35,North,4.4,17.5,2,23.2,6.0,0,0,0,1
CUST_000303,9,Basic,36-45,North,4.2,38.6,7,6.4,1.0,0,0,0,0
CUST_000304,12,Premium,18-25,South,12.7,88.8,22,4.8,3.0,1,1,0,0
CUST_000305,15,Basic,36-45,West,20.2,23.0,8,1.6,0.0,1,0,0,0
CUST_000306,44,Standard,46-55,South,1.4,20.4,5,4.8,4.0,5,0,0,1
CUST_000307,8,Premium,26-35,South,4.2,57.7,16,5.3,0.0,0,0,1,0
CUST_000308,4,Basic,26-35,West,23.3,4.3,6,3.9,1.0,0,0,0,0
CUST_000309,19,Premium,36-45,South,19.6,38.8,12,0.2,4.0,1,0,0,0
